aggressor,nodes,victim_vec_bytes,run,ratio,va_same_switch_frac,va_same_cell_frac,va_cross_cell_frac,alloc_span_cells
inc,32,2097152,congestion_agtr_inc_n32_vm2097152_am1048576_2026-07-01_14-53-07-278101,0.7402,0.000,0.445,0.555,3
inc,32,2097152,congestion_agtr_inc_n32_vm2097152_am1048576_2026-07-02_16-01-50-360971,0.5705,0.000,0.347,0.653,3
inc,32,2097152,congestion_agtr_inc_n32_vm2097152_am1048576_2026-07-02_16-01-37-421692,0.6310,0.000,0.387,0.613,3
inc,32,2097152,congestion_agtr_inc_n32_vm2097152_am1048576_2026-07-02_12-56-18-589916,0.5669,0.000,0.508,0.492,2
inc,32,2097152,congestion_agtr_inc_n32_vm2097152_am1048576_2026-07-02_16-01-27-987414,0.5932,0.000,0.396,0.604,3
inc,32,2097152,congestion_agtr_inc_n32_vm2097152_am1048576_2026-07-02_12-56-23-016361,0.5760,0.000,0.508,0.492,2
inc,32,2097152,congestion_agtr_inc_n32_vm2097152_am1048576_2026-07-02_16-01-39-538794,0.5602,0.000,0.396,0.604,3
inc,32,2097152,congestion_agtr_inc_n32_vm2097152_am1048576_2026-07-02_16-01-25-674262,0.6497,0.000,0.415,0.585,3
inc,32,2097152,congestion_agtr_inc_n32_vm2097152_am1048576_2026-07-02_16-01-33-048948,0.5562,0.000,0.396,0.604,3
inc,32,2097152,congestion_agtr_inc_n32_vm2097152_am1048576_2026-07-02_16-01-30-220382,0.6323,0.000,0.396,0.604,3
inc,32,2097152,congestion_agtr_inc_n32_vm2097152_am1048576_2026-07-02_12-56-27-180691,0.5867,0.000,0.508,0.492,2
inc,32,2097152,congestion_agtr_inc_n32_vm2097152_am1048576_2026-07-02_16-01-23-594772,0.6408,0.000,0.441,0.559,3
inc,32,2097152,congestion_agtr_inc_n32_vm2097152_am1048576_2026-07-02_16-01-43-677387,0.6459,0.000,0.360,0.640,3
inc,32,2097152,congestion_agtr_inc_n32_vm2097152_am1048576_2026-07-02_16-01-48-085968,0.5182,0.000,0.347,0.653,3
inc,64,2097152,congestion_agtr_inc_n64_vm2097152_am1048576_2026-07-01_14-53-52-321864,0.3877,0.000,0.236,0.764,5
inc,64,2097152,congestion_agtr_inc_n64_vm2097152_am1048576_2026-07-02_12-56-57-939164,0.3797,0.000,0.244,0.756,5
inc,64,2097152,congestion_agtr_inc_n64_vm2097152_am1048576_2026-07-02_12-56-52-001848,0.3892,0.000,0.258,0.742,4
inc,64,2097152,congestion_agtr_inc_n64_vm2097152_am1048576_2026-07-02_12-56-50-010527,0.3629,0.000,0.253,0.747,4
inc,64,2097152,congestion_agtr_inc_n64_vm2097152_am1048576_2026-07-02_16-03-34-606367,0.2999,0.000,0.257,0.743,4
inc,64,2097152,congestion_agtr_inc_n64_vm2097152_am1048576_2026-07-02_14-44-25-582964,0.4813,0.000,0.258,0.742,4
inc,64,2097152,congestion_agtr_inc_n64_vm2097152_am1048576_2026-07-02_14-44-43-020138,0.4750,0.000,0.258,0.742,4
inc,64,2097152,congestion_agtr_inc_n64_vm2097152_am1048576_2026-07-02_16-03-29-013361,0.3339,0.000,0.257,0.743,4
inc,64,2097152,congestion_agtr_inc_n64_vm2097152_am1048576_2026-07-02_14-44-55-905818,0.3755,0.000,0.251,0.749,4
inc,64,2097152,congestion_agtr_inc_n64_vm2097152_am1048576_2026-07-02_14-44-31-822662,0.4764,0.000,0.258,0.742,4
inc,64,2097152,congestion_agtr_inc_n64_vm2097152_am1048576_2026-07-02_16-03-32-044602,0.3145,0.000,0.257,0.743,4
inc,64,2097152,congestion_agtr_inc_n64_vm2097152_am1048576_2026-07-02_14-44-36-027414,0.4883,0.000,0.258,0.742,4
inc,64,2097152,congestion_agtr_inc_n64_vm2097152_am1048576_2026-07-02_16-03-39-145487,0.4169,0.000,0.242,0.758,5
inc,64,2097152,congestion_agtr_inc_n64_vm2097152_am1048576_2026-07-02_14-44-51-942351,0.3555,0.000,0.252,0.748,4
inc,64,2097152,congestion_agtr_inc_n64_vm2097152_am1048576_2026-07-02_12-56-54-099522,0.3868,0.000,0.258,0.742,4
inc,64,2097152,congestion_agtr_inc_n64_vm2097152_am1048576_2026-07-02_12-56-56-010855,1.0115,0.000,0.231,0.769,5
inc,64,2097152,congestion_agtr_inc_n64_vm2097152_am1048576_2026-07-02_16-03-36-872510,0.3074,0.000,0.257,0.743,4
inc,64,2097152,congestion_agtr_inc_n64_vm2097152_am1048576_2026-07-02_14-44-53-940842,0.3916,0.000,0.252,0.748,4
inc,64,2097152,congestion_agtr_inc_n64_vm2097152_am1048576_2026-07-02_14-44-29-737065,0.4702,0.000,0.258,0.742,4
inc,64,2097152,congestion_agtr_inc_n64_vm2097152_am1048576_2026-07-02_14-44-27-522926,0.5057,0.000,0.258,0.742,4
inc,128,2097152,congestion_agtr_inc_n128_vm2097152_am1048576_2026-07-01_14-56-14-576809,0.9958,0.000,0.075,0.925,20
inc,16,16777216,congestion_agtr_inc_n16_vm16777216_am1048576_2026-07-01_14-52-27-378387,1.0133,0.000,1.000,0.000,1
inc,32,16777216,congestion_agtr_inc_n32_vm16777216_am1048576_2026-07-02_16-02-03-376988,0.5948,0.000,0.473,0.527,3
